Name,Preferred,Height,Eye Color,Att
"Agripina, Hill",,169.00,Black,
"Ai, Eckman",,160.00,Black,
"Alena, Stockbridge",Joe,188.00,Brown,
"Almeda, Combs",,165.00,Brown,
"Benny, Kwan",,181.00,Black,
"Bobbye, Ruddick",,174.00,Black,
"Carlyn, Symes",,180.00,Brown,
"Chasity, Roll",Skye,162.00,Brown,
"Cyndy, Gillogly",,180.00,Brown,
"Deb, Holmberg",Ellie,160.00,Brown,
"Delmy, Petri",,183.00,Brown,
"Dorian, Urrutia",Selina,162.00,Brown,
"Duane, Leonardo",,174.00,Black,
"Erich, Fargo",,163.83,Brown,
"Ernie, Runner",,167.00,Brown,
"Grazyna, Riemer",,163.00,Brown,
"Heide, Schirmer",,182.00,Brown,
"Herma, Lacasse",,167.50,Brown,
"Hulda, Boner",,160.00,Brown,
"Idell, Hollowell",,165.00,Black,
"Janna, Braga",,175.00,Brown,
"Jasper, Eakes",,156.00,Black,
"Joaquina, Madero",,196.00,Brown,
"Jule, Brehmer",,186.00,Black,
"Kallie, Burnette",,164.00,Brown,
"Kamala, Zeiler",Shirley,170.00,Brown,
"Kasey, Ackerman",,170.00,Black,
"Krystina, Deitch",,165.00,Brown,
"Larisa, Acres",,167.00,Black,
"Lauri, Alvino",,170.00,Brown,
"Lenny, Kerrick",,160.00,Black,
"Lucilla, Alberts",Josh,175.00,Brown,
"Maisie, Drey",,170.00,Brown,
"Malissa, Truitt",,176.00,Black,
"Mayola, Seibold",,161.00,Black,
"Melanie, Defrank",,153.00,Brown,
"Myung, Herron",,177.00,Blue,
"Perla, Jessop",,177.00,Brown,
"Setsuko, Lamirande",,162.00,Black,
"Shameka, Mazer",,172.00,Black,
"Sheldon, Wittmer",,176.00,Brown,
"Tiffanie, Loden",,160.00,Black,
"Trudie, Dandrea",,173.00,Brown,
"Vernon, Prado",,162.00,Black,
"Yolando, Reeser",Doris,164.00,Black,
"Yuk, Beltran",,177.00,Black,
"Zack, Muench",Adi,180.00,Brown,
